MPI Parallel Words Count
Number of Porcesses 4 
Rank 0 (MASTER)

Number of files: 1
Total size of files: 838831.00 bytes
Single split size: 209707.000000 bytes


Global Histogram

Word: increase                 - Count: 5
Word: poor                     - Count: 18
Word: domestic                 - Count: 14
Word: holdings                 - Count: 1
Word: unable                   - Count: 23
Word: dissuade                 - Count: 4
Word: Very                     - Count: 75
Word: soon                     - Count: 50
Word: well                     - Count: 65
Word: enough                   - Count: 43
Word: more                     - Count: 301
Word: pave                     - Count: 2
Word: floors                   - Count: 7
Word: her                      - Count: 2046
Word: husband                  - Count: 63
Word: replied                  - Count: 16
Word: several                  - Count: 80
Word: months                   - Count: 106
Word: worked                   - Count: 14
Word: hard                     - Count: 15
Word: demonstrate              - Count: 1
Word: truth                    - Count: 14
Word: idea                     - Count: 40
Word: explored                 - Count: 4
Word: inch                     - Count: 6
Word: region                   - Count: 18
Word: riverbed                 - Count: 2
Word: iron                     - Count: 12
Word: reciting                 - Count: 3
Word: incantation              - Count: 1
Word: aloud                    - Count: 10
Word: only                     - Count: 372
Word: thing                    - Count: 51
Word: succeeded                - Count: 31
Word: doing                    - Count: 24
Word: unearth                  - Count: 1
Word: suit                     - Count: 13
Word: fifteenthcentury         - Count: 1
Word: armor                    - Count: 5
Word: all                      - Count: 348
Word: pieces                   - Count: 30
Word: soldered                 - Count: 2
Word: together                 - Count: 47
Word: rust                     - Count: 2
Word: inside                   - Count: 37
Word: there                    - Count: 235
Word: hollow                   - Count: 4
Word: resonance                - Count: 1
Word: stonefilled              - Count: 1
Word: gourd                    - Count: 5
Word: four                     - Count: 64
Word: men                      - Count: 103
Word: expedition               - Count: 4
Word: managed                  - Count: 29
Word: take                     - Count: 118
Word: apart                    - Count: 18
Word: found                    - Count: 161
Word: calcified                - Count: 1
Word: skeleton                 - Count: 3
Word: copper                   - Count: 15
Word: locket                   - Count: 1
Word: containing               - Count: 3
Word: womans                   - Count: 5
Word: hair                     - Count: 53
Word: around                   - Count: 66
Word: neck                     - Count: 18
Word: returned                 - Count: 52
Word: This                     - Count: 97
Word: telescope                - Count: 3
Word: magnifying               - Count: 6
Word: glass                    - Count: 32
Word: size                     - Count: 8
Word: dmm                      - Count: 2
Word: exhibited                - Count: 3
Word: latest                   - Count: 10
Word: discovery                - Count: 13
Word: Jews                     - Count: 2
Word: Amsterdam                - Count: 1
Word: placed                   - Count: 20
Word: woman                    - Count: 128
Word: end                      - Count: 79
Word: entrance                 - Count: 8
Word: tent                     - Count: 12
Word: price                    - Count: 10
Word: five                     - Count: 41
Word: reales                   - Count: 5
